"","Age","Gender","Impressions","Clicks","Signed_In","CTR","ageGroup","CTRGroup"
"2575",84,"1",7,2,"1",0.285714285714286,"65+","0.2-0.4"
"2591",53,"0",7,1,"1",0.142857142857143,"45-54","0.0-0.2"
"2618",26,"0",6,1,"1",0.166666666666667,"25-34","0.0-0.2"
"2661",14,"1",8,1,"1",0.125,"18-","0.0-0.2"
"2664",69,"1",4,1,"1",0.25,"65+","0.2-0.4"
"2667",46,"1",4,1,"1",0.25,"45-54","0.2-0.4"
"2669",74,"0",4,1,"1",0.25,"65+","0.2-0.4"
"2722",49,"0",3,1,"1",0.333333333333333,"45-54","0.2-0.4"
"2735",53,"1",5,1,"1",0.2,"45-54","0.2-0.4"
"2740",45,"0",3,1,"1",0.333333333333333,"45-54","0.2-0.4"
"2763",23,"0",7,1,"1",0.142857142857143,"18-24","0.0-0.2"
"2773",33,"1",8,1,"1",0.125,"25-34","0.0-0.2"
"2791",31,"1",6,1,"1",0.166666666666667,"25-34","0.0-0.2"
"2793",65,"0",8,1,"1",0.125,"65+","0.0-0.2"
"2815",33,"1",6,1,"1",0.166666666666667,"25-34","0.0-0.2"
"2821",40,"0",4,1,"1",0.25,"35-44","0.2-0.4"
"2831",56,"1",5,1,"1",0.2,"55-64","0.2-0.4"
"2865",49,"1",10,1,"1",0.1,"45-54","0.0-0.2"
"2868",48,"1",6,1,"1",0.166666666666667,"45-54","0.0-0.2"
"2877",15,"0",5,1,"1",0.2,"18-","0.2-0.4"
"2888",59,"0",5,1,"1",0.2,"55-64","0.2-0.4"
"2900",47,"1",3,1,"1",0.333333333333333,"45-54","0.2-0.4"
"2925",80,"0",3,1,"1",0.333333333333333,"65+","0.2-0.4"
"2953",44,"0",8,1,"1",0.125,"35-44","0.0-0.2"
"2992",56,"1",7,1,"1",0.142857142857143,"55-64","0.0-0.2"
"3008",47,"0",4,1,"1",0.25,"45-54","0.2-0.4"
"3027",19,"0",6,1,"1",0.166666666666667,"18-24","0.0-0.2"
"3051",47,"1",5,1,"1",0.2,"45-54","0.2-0.4"
"3060",39,"0",5,1,"1",0.2,"35-44","0.2-0.4"
"3110",52,"0",4,1,"1",0.25,"45-54","0.2-0.4"
"3147",16,"1",8,1,"1",0.125,"18-","0.0-0.2"
"3160",63,"0",6,1,"1",0.166666666666667,"55-64","0.0-0.2"
"3172",45,"1",11,1,"1",0.0909090909090909,"45-54","0.0-0.2"
"3187",52,"0",9,1,"1",0.111111111111111,"45-54","0.0-0.2"
"3188",18,"1",5,1,"1",0.2,"18-","0.2-0.4"
"3243",63,"1",4,1,"1",0.25,"55-64","0.2-0.4"
"3250",18,"0",8,1,"1",0.125,"18-","0.0-0.2"
"3259",44,"0",8,1,"1",0.125,"35-44","0.0-0.2"
"3265",76,"0",4,1,"1",0.25,"65+","0.2-0.4"
"3268",38,"0",4,1,"1",0.25,"35-44","0.2-0.4"
"3277",17,"1",5,1,"1",0.2,"18-","0.2-0.4"
"3291",17,"0",7,1,"1",0.142857142857143,"18-","0.0-0.2"
"3316",33,"1",7,1,"1",0.142857142857143,"25-34","0.0-0.2"
"3353",18,"1",6,1,"1",0.166666666666667,"18-","0.0-0.2"
"3365",37,"1",7,1,"1",0.142857142857143,"35-44","0.0-0.2"
"3400",53,"0",5,1,"1",0.2,"45-54","0.2-0.4"
"3412",78,"0",7,2,"1",0.285714285714286,"65+","0.2-0.4"
"3548",28,"1",5,1,"1",0.2,"25-34","0.2-0.4"
"3559",47,"1",3,1,"1",0.333333333333333,"45-54","0.2-0.4"
"3563",39,"0",3,1,"1",0.333333333333333,"35-44","0.2-0.4"
"3610",30,"1",4,1,"1",0.25,"25-34","0.2-0.4"
"3644",66,"0",5,1,"1",0.2,"65+","0.2-0.4"
"3686",42,"1",7,1,"1",0.142857142857143,"35-44","0.0-0.2"
"3690",57,"0",7,1,"1",0.142857142857143,"55-64","0.0-0.2"
"3737",41,"0",2,1,"1",0.5,"35-44","0.4-0.6"
"3771",51,"0",2,1,"1",0.5,"45-54","0.4-0.6"
"3774",43,"0",3,1,"1",0.333333333333333,"35-44","0.2-0.4"
"3806",14,"1",10,2,"1",0.2,"18-","0.2-0.4"
"3813",75,"1",7,1,"1",0.142857142857143,"65+","0.0-0.2"
"3933",62,"1",6,1,"1",0.166666666666667,"55-64","0.0-0.2"
"3957",78,"0",2,1,"1",0.5,"65+","0.4-0.6"
"3968",81,"0",6,1,"1",0.166666666666667,"65+","0.0-0.2"
"4045",21,"0",6,1,"1",0.166666666666667,"18-24","0.0-0.2"
"4053",61,"1",5,1,"1",0.2,"55-64","0.2-0.4"
"4090",40,"1",5,1,"1",0.2,"35-44","0.2-0.4"
"4158",62,"0",8,1,"1",0.125,"55-64","0.0-0.2"
"4177",61,"1",7,1,"1",0.142857142857143,"55-64","0.0-0.2"
"4198",65,"1",6,1,"1",0.166666666666667,"65+","0.0-0.2"
"4217",66,"0",6,1,"1",0.166666666666667,"65+","0.0-0.2"
"4233",13,"1",8,2,"1",0.25,"18-","0.2-0.4"
"4247",30,"0",9,1,"1",0.111111111111111,"25-34","0.0-0.2"
"4249",72,"0",9,1,"1",0.111111111111111,"65+","0.0-0.2"
"4267",68,"0",7,1,"1",0.142857142857143,"65+","0.0-0.2"
"4279",28,"1",6,1,"1",0.166666666666667,"25-34","0.0-0.2"
"4313",89,"0",6,1,"1",0.166666666666667,"65+","0.0-0.2"
"4362",15,"1",8,2,"1",0.25,"18-","0.2-0.4"
"4386",66,"1",6,1,"1",0.166666666666667,"65+","0.0-0.2"
"4387",26,"1",6,1,"1",0.166666666666667,"25-34","0.0-0.2"
"4456",20,"0",10,1,"1",0.1,"18-24","0.0-0.2"
"4471",59,"1",7,1,"1",0.142857142857143,"55-64","0.0-0.2"
"4476",63,"1",6,1,"1",0.166666666666667,"55-64","0.0-0.2"
"4492",69,"0",6,1,"1",0.166666666666667,"65+","0.0-0.2"
"4502",74,"0",3,1,"1",0.333333333333333,"65+","0.2-0.4"
"4526",15,"1",5,1,"1",0.2,"18-","0.2-0.4"
"4532",63,"0",6,1,"1",0.166666666666667,"55-64","0.0-0.2"
"4576",59,"1",5,1,"1",0.2,"55-64","0.2-0.4"
"4618",88,"0",7,1,"1",0.142857142857143,"65+","0.0-0.2"
"4640",59,"1",11,1,"1",0.0909090909090909,"55-64","0.0-0.2"
"4645",67,"1",4,1,"1",0.25,"65+","0.2-0.4"
"4719",36,"0",7,1,"1",0.142857142857143,"35-44","0.0-0.2"
"4721",70,"1",7,2,"1",0.285714285714286,"65+","0.2-0.4"
"4792",47,"1",4,1,"1",0.25,"45-54","0.2-0.4"
"4814",77,"1",5,1,"1",0.2,"65+","0.2-0.4"
"4825",42,"0",7,1,"1",0.142857142857143,"35-44","0.0-0.2"
"4826",66,"0",4,3,"1",0.75,"65+","0.6-0.8"
"4904",18,"1",6,1,"1",0.166666666666667,"18-","0.0-0.2"
"4920",55,"0",9,1,"1",0.111111111111111,"55-64","0.0-0.2"
"4947",20,"1",11,1,"1",0.0909090909090909,"18-24","0.0-0.2"
"4976",61,"0",3,1,"1",0.333333333333333,"55-64","0.2-0.4"
"4977",36,"0",4,1,"1",0.25,"35-44","0.2-0.4"
"5000",81,"0",6,1,"1",0.166666666666667,"65+","0.0-0.2"
"5023",42,"1",6,1,"1",0.166666666666667,"35-44","0.0-0.2"
"5081",23,"0",5,1,"1",0.2,"18-24","0.2-0.4"
"5123",30,"1",4,1,"1",0.25,"25-34","0.2-0.4"
"5140",63,"1",4,1,"1",0.25,"55-64","0.2-0.4"
"5153",40,"0",9,1,"1",0.111111111111111,"35-44","0.0-0.2"
"5165",61,"1",2,1,"1",0.5,"55-64","0.4-0.6"
"5279",17,"0",3,1,"1",0.333333333333333,"18-","0.2-0.4"
"5286",60,"1",9,2,"1",0.222222222222222,"55-64","0.2-0.4"
"5287",62,"1",4,1,"1",0.25,"55-64","0.2-0.4"
"5290",52,"1",11,1,"1",0.0909090909090909,"45-54","0.0-0.2"
"5326",44,"0",4,1,"1",0.25,"35-44","0.2-0.4"
"5382",65,"1",8,1,"1",0.125,"65+","0.0-0.2"
"5406",42,"1",7,1,"1",0.142857142857143,"35-44","0.0-0.2"
"5439",73,"0",6,1,"1",0.166666666666667,"65+","0.0-0.2"
"5541",23,"0",9,1,"1",0.111111111111111,"18-24","0.0-0.2"
"5554",19,"0",4,1,"1",0.25,"18-24","0.2-0.4"
"5582",18,"0",4,1,"1",0.25,"18-","0.2-0.4"
"5590",60,"0",7,1,"1",0.142857142857143,"55-64","0.0-0.2"
"5652",39,"0",7,1,"1",0.142857142857143,"35-44","0.0-0.2"
"5664",45,"0",6,1,"1",0.166666666666667,"45-54","0.0-0.2"
"5751",60,"1",2,1,"1",0.5,"55-64","0.4-0.6"
"5752",70,"0",6,1,"1",0.166666666666667,"65+","0.0-0.2"
"5814",76,"0",8,1,"1",0.125,"65+","0.0-0.2"
"5838",72,"1",8,1,"1",0.125,"65+","0.0-0.2"
"5937",39,"0",5,1,"1",0.2,"35-44","0.2-0.4"
"5956",56,"0",9,1,"1",0.111111111111111,"55-64","0.0-0.2"
"5970",47,"1",5,1,"1",0.2,"45-54","0.2-0.4"
"5977",16,"1",2,1,"1",0.5,"18-","0.4-0.6"
"5984",28,"1",5,1,"1",0.2,"25-34","0.2-0.4"
"5994",30,"1",9,1,"1",0.111111111111111,"25-34","0.0-0.2"
"5996",52,"1",7,1,"1",0.142857142857143,"45-54","0.0-0.2"
"6031",37,"0",4,1,"1",0.25,"35-44","0.2-0.4"
"6046",21,"1",3,1,"1",0.333333333333333,"18-24","0.2-0.4"
"6067",37,"0",8,1,"1",0.125,"35-44","0.0-0.2"
"6075",72,"0",7,2,"1",0.285714285714286,"65+","0.2-0.4"
"6088",31,"1",6,1,"1",0.166666666666667,"25-34","0.0-0.2"
"6090",28,"0",5,1,"1",0.2,"25-34","0.2-0.4"
"6094",51,"0",5,1,"1",0.2,"45-54","0.2-0.4"
"6115",17,"0",7,1,"1",0.142857142857143,"18-","0.0-0.2"
"6117",62,"1",7,1,"1",0.142857142857143,"55-64","0.0-0.2"
"6125",59,"1",9,1,"1",0.111111111111111,"55-64","0.0-0.2"
"6140",80,"0",4,1,"1",0.25,"65+","0.2-0.4"
"6146",14,"1",3,1,"1",0.333333333333333,"18-","0.2-0.4"
"6184",79,"0",2,1,"1",0.5,"65+","0.4-0.6"
"6237",11,"1",4,1,"1",0.25,"18-","0.2-0.4"
"6239",56,"0",7,1,"1",0.142857142857143,"55-64","0.0-0.2"
"6266",50,"0",5,1,"1",0.2,"45-54","0.2-0.4"
"6362",52,"0",8,1,"1",0.125,"45-54","0.0-0.2"
"6390",44,"0",5,1,"1",0.2,"35-44","0.2-0.4"
"6434",32,"0",2,1,"1",0.5,"25-34","0.4-0.6"
"6496",71,"1",8,1,"1",0.125,"65+","0.0-0.2"
"6504",43,"0",4,1,"1",0.25,"35-44","0.2-0.4"
"6522",33,"1",4,1,"1",0.25,"25-34","0.2-0.4"
"6535",75,"1",6,1,"1",0.166666666666667,"65+","0.0-0.2"
"6560",94,"0",3,2,"1",0.666666666666667,"65+","0.6-0.8"
"6577",69,"0",13,2,"1",0.153846153846154,"65+","0.0-0.2"
"6583",51,"1",4,1,"1",0.25,"45-54","0.2-0.4"
"6585",16,"1",8,1,"1",0.125,"18-","0.0-0.2"
"6638",44,"1",10,1,"1",0.1,"35-44","0.0-0.2"
"6661",33,"1",5,1,"1",0.2,"25-34","0.2-0.4"
"6684",56,"0",1,1,"1",1,"55-64","0.8-1.0"
"6723",17,"0",3,1,"1",0.333333333333333,"18-","0.2-0.4"
"6744",21,"0",13,1,"1",0.0769230769230769,"18-24","0.0-0.2"
"6745",74,"0",3,1,"1",0.333333333333333,"65+","0.2-0.4"
"6763",48,"0",11,1,"1",0.0909090909090909,"45-54","0.0-0.2"
"6806",70,"0",4,1,"1",0.25,"65+","0.2-0.4"
"6817",47,"0",2,1,"1",0.5,"45-54","0.4-0.6"
"6839",26,"0",5,1,"1",0.2,"25-34","0.2-0.4"
"6842",16,"1",8,1,"1",0.125,"18-","0.0-0.2"
"6854",43,"0",9,2,"1",0.222222222222222,"35-44","0.2-0.4"
"6874",33,"1",11,1,"1",0.0909090909090909,"25-34","0.0-0.2"
"6908",41,"0",1,1,"1",1,"35-44","0.8-1.0"
"6917",41,"0",7,1,"1",0.142857142857143,"35-44","0.0-0.2"
"6924",20,"0",5,1,"1",0.2,"18-24","0.2-0.4"
"6926",44,"1",9,1,"1",0.111111111111111,"35-44","0.0-0.2"
"6936",36,"1",7,1,"1",0.142857142857143,"35-44","0.0-0.2"
"6946",46,"0",3,1,"1",0.333333333333333,"45-54","0.2-0.4"
"6996",60,"1",6,1,"1",0.166666666666667,"55-64","0.0-0.2"
"7004",64,"0",9,1,"1",0.111111111111111,"55-64","0.0-0.2"
"7006",31,"1",8,1,"1",0.125,"25-34","0.0-0.2"
"7025",34,"0",6,1,"1",0.166666666666667,"25-34","0.0-0.2"
"7027",72,"0",10,1,"1",0.1,"65+","0.0-0.2"
"7045",72,"1",13,2,"1",0.153846153846154,"65+","0.0-0.2"
"7056",18,"1",4,1,"1",0.25,"18-","0.2-0.4"
"7072",41,"0",4,1,"1",0.25,"35-44","0.2-0.4"
"7135",37,"1",8,1,"1",0.125,"35-44","0.0-0.2"
"7186",16,"1",5,1,"1",0.2,"18-","0.2-0.4"
"7188",13,"1",8,1,"1",0.125,"18-","0.0-0.2"
"7218",11,"0",5,1,"1",0.2,"18-","0.2-0.4"
"7222",32,"0",6,1,"1",0.166666666666667,"25-34","0.0-0.2"
"7250",43,"1",3,1,"1",0.333333333333333,"35-44","0.2-0.4"
"7312",31,"1",8,1,"1",0.125,"25-34","0.0-0.2"
"7372",15,"1",3,1,"1",0.333333333333333,"18-","0.2-0.4"
"7409",46,"1",7,1,"1",0.142857142857143,"45-54","0.0-0.2"
"7443",60,"1",6,2,"1",0.333333333333333,"55-64","0.2-0.4"
"7462",35,"1",3,1,"1",0.333333333333333,"35-44","0.2-0.4"
"7484",50,"1",5,1,"1",0.2,"45-54","0.2-0.4"
"7511",58,"0",5,1,"1",0.2,"55-64","0.2-0.4"
"7514",51,"0",5,1,"1",0.2,"45-54","0.2-0.4"
"7588",15,"1",5,1,"1",0.2,"18-","0.2-0.4"
"7599",16,"0",5,1,"1",0.2,"18-","0.2-0.4"
"7607",26,"0",5,1,"1",0.2,"25-34","0.2-0.4"
"7614",73,"0",8,1,"1",0.125,"65+","0.0-0.2"
"7619",22,"0",4,1,"1",0.25,"18-24","0.2-0.4"
"7642",40,"0",11,1,"1",0.0909090909090909,"35-44","0.0-0.2"
"7662",57,"0",8,1,"1",0.125,"55-64","0.0-0.2"
"7676",61,"0",2,1,"1",0.5,"55-64","0.4-0.6"
"7680",63,"0",8,1,"1",0.125,"55-64","0.0-0.2"
"7695",68,"0",5,1,"1",0.2,"65+","0.2-0.4"
"7716",72,"1",8,2,"1",0.25,"65+","0.2-0.4"
"7718",30,"0",8,1,"1",0.125,"25-34","0.0-0.2"
"7721",34,"0",7,1,"1",0.142857142857143,"25-34","0.0-0.2"
"7722",58,"0",5,1,"1",0.2,"55-64","0.2-0.4"
"7744",58,"1",9,1,"1",0.111111111111111,"55-64","0.0-0.2"
"7768",42,"0",6,1,"1",0.166666666666667,"35-44","0.0-0.2"
"7790",25,"0",2,1,"1",0.5,"25-34","0.4-0.6"
"7925",52,"1",6,1,"1",0.166666666666667,"45-54","0.0-0.2"
"7934",80,"1",7,1,"1",0.142857142857143,"65+","0.0-0.2"
"7937",57,"1",5,1,"1",0.2,"55-64","0.2-0.4"
"7950",78,"0",10,1,"1",0.1,"65+","0.0-0.2"
"7969",56,"1",5,1,"1",0.2,"55-64","0.2-0.4"
"7975",41,"0",5,1,"1",0.2,"35-44","0.2-0.4"
"7979",18,"1",5,1,"1",0.2,"18-","0.2-0.4"
"8039",43,"1",4,1,"1",0.25,"35-44","0.2-0.4"
"8073",41,"1",7,1,"1",0.142857142857143,"35-44","0.0-0.2"
"8106",26,"0",3,1,"1",0.333333333333333,"25-34","0.2-0.4"
"8153",57,"1",5,1,"1",0.2,"55-64","0.2-0.4"
"8228",62,"0",6,1,"1",0.166666666666667,"55-64","0.0-0.2"
"8257",28,"0",7,1,"1",0.142857142857143,"25-34","0.0-0.2"
"8262",66,"1",6,1,"1",0.166666666666667,"65+","0.0-0.2"
"8269",22,"0",5,1,"1",0.2,"18-24","0.2-0.4"
"8343",62,"1",3,2,"1",0.666666666666667,"55-64","0.6-0.8"
"8374",14,"1",11,2,"1",0.181818181818182,"18-","0.0-0.2"
"8400",54,"0",4,1,"1",0.25,"45-54","0.2-0.4"
"8418",11,"1",4,1,"1",0.25,"18-","0.2-0.4"
"8493",32,"0",3,1,"1",0.333333333333333,"25-34","0.2-0.4"
"8533",58,"1",5,1,"1",0.2,"55-64","0.2-0.4"
"8562",19,"0",5,1,"1",0.2,"18-24","0.2-0.4"
"8582",51,"0",5,1,"1",0.2,"45-54","0.2-0.4"
"8596",59,"1",6,1,"1",0.166666666666667,"55-64","0.0-0.2"
"8623",14,"0",6,1,"1",0.166666666666667,"18-","0.0-0.2"
"8647",71,"1",10,1,"1",0.1,"65+","0.0-0.2"
"8697",46,"1",6,1,"1",0.166666666666667,"45-54","0.0-0.2"
"8699",29,"0",5,1,"1",0.2,"25-34","0.2-0.4"
"8742",76,"0",6,2,"1",0.333333333333333,"65+","0.2-0.4"
"8743",56,"0",8,2,"1",0.25,"55-64","0.2-0.4"
"8819",25,"0",7,1,"1",0.142857142857143,"25-34","0.0-0.2"
"8840",77,"1",6,1,"1",0.166666666666667,"65+","0.0-0.2"
"8846",51,"1",4,1,"1",0.25,"45-54","0.2-0.4"
"8859",91,"0",3,1,"1",0.333333333333333,"65+","0.2-0.4"
"8876",36,"1",4,1,"1",0.25,"35-44","0.2-0.4"
"8922",17,"1",3,1,"1",0.333333333333333,"18-","0.2-0.4"
"8932",70,"1",6,1,"1",0.166666666666667,"65+","0.0-0.2"
"8945",27,"1",3,1,"1",0.333333333333333,"25-34","0.2-0.4"
"8976",70,"1",10,1,"1",0.1,"65+","0.0-0.2"
"9055",72,"0",5,1,"1",0.2,"65+","0.2-0.4"
"9087",41,"0",4,1,"1",0.25,"35-44","0.2-0.4"
"9090",40,"1",5,1,"1",0.2,"35-44","0.2-0.4"
"9142",49,"1",10,1,"1",0.1,"45-54","0.0-0.2"
"9157",49,"0",3,1,"1",0.333333333333333,"45-54","0.2-0.4"
"9170",73,"1",8,1,"1",0.125,"65+","0.0-0.2"
"9220",51,"0",5,1,"1",0.2,"45-54","0.2-0.4"
"9312",37,"0",7,1,"1",0.142857142857143,"35-44","0.0-0.2"
"9327",51,"0",4,1,"1",0.25,"45-54","0.2-0.4"
"9346",16,"1",6,1,"1",0.166666666666667,"18-","0.0-0.2"
"9379",32,"1",2,1,"1",0.5,"25-34","0.4-0.6"
"9383",61,"0",5,1,"1",0.2,"55-64","0.2-0.4"
"9403",27,"0",5,1,"1",0.2,"25-34","0.2-0.4"
"9410",14,"1",7,1,"1",0.142857142857143,"18-","0.0-0.2"
"9419",22,"0",7,1,"1",0.142857142857143,"18-24","0.0-0.2"
"9431",63,"1",9,1,"1",0.111111111111111,"55-64","0.0-0.2"
"9436",46,"1",7,1,"1",0.142857142857143,"45-54","0.0-0.2"
"9446",47,"0",5,1,"1",0.2,"45-54","0.2-0.4"
"9467",13,"1",5,1,"1",0.2,"18-","0.2-0.4"
"9479",35,"0",4,1,"1",0.25,"35-44","0.2-0.4"
"9483",68,"1",4,1,"1",0.25,"65+","0.2-0.4"
"9486",68,"0",4,1,"1",0.25,"65+","0.2-0.4"
"9508",57,"0",7,1,"1",0.142857142857143,"55-64","0.0-0.2"
"9597",47,"0",5,1,"1",0.2,"45-54","0.2-0.4"
"9599",26,"1",4,1,"1",0.25,"25-34","0.2-0.4"
"9604",36,"1",5,1,"1",0.2,"35-44","0.2-0.4"
"9632",40,"1",5,1,"1",0.2,"35-44","0.2-0.4"
"9713",27,"1",3,1,"1",0.333333333333333,"25-34","0.2-0.4"
"9733",41,"1",2,1,"1",0.5,"35-44","0.4-0.6"
"9763",27,"1",9,1,"1",0.111111111111111,"25-34","0.0-0.2"
"9797",29,"1",4,1,"1",0.25,"25-34","0.2-0.4"
"9802",36,"1",4,1,"1",0.25,"35-44","0.2-0.4"
"9804",72,"1",7,1,"1",0.142857142857143,"65+","0.0-0.2"
"9813",17,"0",4,1,"1",0.25,"18-","0.2-0.4"
"9814",76,"1",7,1,"1",0.142857142857143,"65+","0.0-0.2"
"9832",57,"0",8,1,"1",0.125,"55-64","0.0-0.2"
"9838",38,"1",5,1,"1",0.2,"35-44","0.2-0.4"
"9974",48,"0",3,1,"1",0.333333333333333,"45-54","0.2-0.4"
"9976",32,"0",5,1,"1",0.2,"25-34","0.2-0.4"
"10010",47,"1",7,1,"1",0.142857142857143,"45-54","0.0-0.2"
"10011",18,"1",4,1,"1",0.25,"18-","0.2-0.4"
"10077",23,"0",12,1,"1",0.0833333333333333,"18-24","0.0-0.2"
"10083",52,"0",7,1,"1",0.142857142857143,"45-54","0.0-0.2"
"10091",67,"0",7,1,"1",0.142857142857143,"65+","0.0-0.2"
"10099",67,"1",9,1,"1",0.111111111111111,"65+","0.0-0.2"
"10128",68,"1",5,1,"1",0.2,"65+","0.2-0.4"
